gene_id,log2fc,pvalue,padj
AFFX-BioB-5_at,0.44136033587889845,0.29502918050233834,0.948600772564969
AFFX-BioB-M_at,1.0426257528660388,0.3875542122717107,0.948600772564969
AFFX-BioB-3_at,0.9844012399563212,0.4394827232467997,0.9492873982730167
AFFX-BioC-5_at,1.0489275274001102,0.5629219814240727,0.9536485282787707
AFFX-BioC-3_at,0.06444827176348777,0.9640832339155669,0.9988891300682974
AFFX-BioDn-5_at,1.7893657606721232,0.2859855305417009,0.948600772564969
AFFX-BioDn-3_at,1.26935048051584,0.46732652003718667,0.9492873982730167
AFFX-CreX-5_at,2.827464293125489,0.11468969088060163,0.948600772564969
AFFX-CreX-3_at,3.512567334172323,0.015878461584744798,0.948600772564969
AFFX-HUMISGF3A/M97935_MA_at,-1.2057115870996438,0.3255140668923857,0.948600772564969
AFFX-HUMISGF3A/M97935_MB_at,-0.9080680997722301,0.05922571965664243,0.948600772564969
AFFX-HUMISGF3A/M97935_3_at,1.838411847031031,0.11013132213428095,0.948600772564969
AFFX-HUMGAPDH/M33197_5_at,-0.3967468417465603,0.41759420868168595,0.9488219476108902
AFFX-HUMGAPDH/M33197_M_at,-1.018901329585424,0.4486440135521802,0.9492873982730167
AFFX-HUMGAPDH/M33197_3_at,0.6764163620427736,0.728209230802332,0.9771622414223269
AFFX-HSAC07/X00351_5_at,-0.9553266271485668,0.05064228784888892,0.948600772564969
AFFX-HSAC07/X00351_M_at,-0.861427633522936,0.19323870403321003,0.948600772564969
AFFX-HSAC07/X00351_3_at,1.3306922359329734,0.019476567775697055,0.948600772564969
AFFX-M27830_3_at,0.6127242068409335,0.7212862287397745,0.9753772763077883
AFFX-hum_alu_at,0.5532650551623939,0.12915634225807776,0.948600772564969
AFFX-r2-Ec-bioB-5_at,0.9310343458470532,0.4239788844734337,0.9488219476108902
AFFX-r2-Ec-bioB-M_at,0.8307837656225973,0.4906764285246207,0.9492873982730167
AFFX-r2-Ec-bioB-3_at,0.8554075941129434,0.4887211492921032,0.9492873982730167
AFFX-r2-Ec-bioC-5_at,1.5729131350285264,0.25989610999237805,0.948600772564969
AFFX-r2-Ec-bioC-3_at,1.8106057301211818,0.17879603895333698,0.948600772564969
AFFX-r2-Ec-bioD-5_at,3.6422627857393044,0.01087657080974711,0.948600772564969
AFFX-r2-Ec-bioD-3_at,4.281320650488149,0.02835143052801736,0.948600772564969
AFFX-r2-P1-cre-5_at,1.9866728013680892,0.3756027554251574,0.948600772564969
AFFX-r2-P1-cre-3_at,1.6737135560254155,0.3490414661388462,0.948600772564969
AFFX-r2-Bs-phe-M_at,-0.4161002663686437,0.5425701385465653,0.9522613059641042
AFFX-r2-Hs18SrRNA-M_x_at,0.8832656059201216,0.07994679795508658,0.948600772564969
AFFX-r2-Hs18SrRNA-5_at,1.6352015743341015,0.24455729997092238,0.948600772564969
200000_s_at,-1.9735872393840959,0.396036632028953,0.948600772564969
200001_at,-0.3547455966829582,0.5606814729689326,0.9536485282787707
200002_at,-2.5995741785806215,0.14954205026803255,0.948600772564969
200003_s_at,-1.9941255257880868,0.15735142296511484,0.948600772564969
200004_at,0.08995457038238575,0.8329256870370798,0.9863214174385391
200005_at,0.6703646827630452,0.6319335073805815,0.9605785953242776
200006_at,-0.9165479560151145,0.4970255231449745,0.9507607348027063
200007_at,-0.5754043898222834,0.1554855803584697,0.948600772564969
200008_s_at,-1.0189881127185645,0.009999727528248207,0.948600772564969
200009_at,-0.9648736553274087,0.06851815093015186,0.948600772564969
200010_at,-1.6532959968002876,0.222636159824065,0.948600772564969
200011_s_at,-0.054946584781304014,0.9287476097217453,0.9949180320684236
200012_x_at,-0.23706799233426729,0.5377366423119339,0.9520300649608303
200013_at,-0.6039654217302336,0.7539671444005244,0.9815168538379319
200014_s_at,-0.355901800572731,0.5017285004453231,0.9507607348027063
200015_s_at,-0.18025853639514772,0.9008624051387571,0.992213213470963
200016_x_at,-0.5352678498753364,0.6426743376067248,0.9619680725556278
200017_at,-0.8206885189283382,0.47081936683941683,0.9492873982730167
200018_at,-2.26292672565935,0.0745151333331772,0.948600772564969
200019_s_at,-0.4438732633454747,0.8197672933704766,0.9856142682651798
200020_at,-1.682360947912446,0.20566435978067027,0.948600772564969
200021_at,-0.33356336843323975,0.864026433541416,0.9883163428603184
200022_at,-2.585561136920136,0.1637554365599254,0.948600772564969
200023_s_at,-1.4936388033424954,0.008323209092219902,0.948600772564969
200024_at,-1.5827823140751154,0.2129665862943409,0.948600772564969
200025_s_at,0.3498623807433451,0.6052266718390322,0.9577311164248332
200026_at,1.7635945245032396,0.17500241498383395,0.948600772564969
200027_at,1.4128141383351185,0.2992396410344902,0.948600772564969
200028_s_at,-0.7427872437934537,0.2813714424660109,0.948600772564969
200029_at,-1.7914112865450293,0.3156458890793245,0.948600772564969
200030_s_at,-1.3832261442760618,0.019701321868717262,0.948600772564969
200031_s_at,-0.18380272229188474,0.9253540808829042,0.9949180320684236
200032_s_at,1.7347897457247017,0.12411338859937388,0.948600772564969
200033_at,0.2122214494184792,0.6132844533756046,0.9584244235738804
200034_s_at,-0.7298946165536518,0.5905904585153193,0.9553503121202062
200035_at,-0.09159110315297916,0.9507556709458446,0.9986277462677201
200036_s_at,-1.3196859265197853,0.2636012666096491,0.948600772564969
200037_s_at,0.24738724578017052,0.5816673043486907,0.9539403247885356
200038_s_at,-1.0969213733345367,0.36457312340019776,0.948600772564969
200039_s_at,-1.062183263475937,0.43686148645358336,0.9492873982730167
200040_at,0.24268870137948623,0.9005519057008152,0.9921581364573805
200041_s_at,0.6801728849786408,0.29770959678073544,0.948600772564969
200042_at,-0.8224448029389076,0.5710062616155138,0.9539403247885356
200043_at,-0.01740651562085188,0.9727282928153661,0.999106081691833
200044_at,-1.0796509195238546,0.369340478290923,0.948600772564969
200045_at,-1.127875481564605,0.42468584290863876,0.9488219476108902
200046_at,-0.6931915060715275,0.08452908075526264,0.948600772564969
